time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
1243362.9999998957,0.013800000000000007,2,,,0.0,,,,8201.000000350177,
1251744.000000204,1.066099999,3,,,,,,217.00000002000002,,
1251961.0000000102,1.066099999,4,,,,975.331410004,,,,377.9999997233972
1252519.0000003204,1.15,1,,,,,,220.99999992,,
1252739.9999998044,1.15,2,,,0.0,,,,25017.000001017004,
1277937.0000001509,-0.03459999999999999,3,,,,,,92.00000016000001,,
1278029.0000002831,-0.03459999999999999,4,,,,2010.628666847,,,,516.9999995268881
1278725.999999768,-0.0872,1,,,,,,116.0000001,,
1278841.9999998529,-0.0872,2,,,0.0,,,,7040.000000526197,
1286062.0000003371,-0.4081,3,,,,,,169.99999992,,
1286231.9999998435,-0.4081,4,,,,770.332774552,,,,391.0000002477318
1286803.0000000494,-0.3701,1,,,,,,165.0,,
1286968.0000002729,-0.3701,2,,,0.0,,,,7044.999999180436,
1294193.00000004,0.2658,3,,,,,,151.99999992000002,,
1294344.9999997392,0.2658,4,,,,677.316156047,,,,389.0000004088506
1294914.0000001062,0.3119,1,,,,,,157.99999986,,
1295071.9999999506,0.3119,2,,,30.36741322900002,,,,506.0000000987202,
1295758.0000000075,0.3658,3,,,,,,165.0,,
1295923.000000231,0.3658,4,,,,689.698779857,,,,506.9999997038394
1296609.999999893,0.42030000000000006,1,,,,,,170.99999994,,
1296781.0000002617,0.42030000000000006,2,,,8.460938916000032,,,,3608.999999379739,
1300570.0000002282,0.591,3,,,,,,186.00000011999998,,
1300756.0000003316,0.591,4,,,,840.653983241,,,,1586.9999994523823
1302522.999999742,0.6289,1,,,,,,189.00000018,,
1302711.999999918,0.6289,2,,,2276.928418046,,,,1337.0000001043081,
1304228.9999999804,0.6587999999999999,3,,,,,,192.00000006,,
1304421.000000229,0.6587999999999999,4,,,,1424.664955547,,,,4626.999999722466
1309227.9999999097,0.5697,1,,,,,,184.99999986,,
1309412.9999997793,0.5697,2,,,2409.317517613,,,,7865.999999362975,
1317458.999999729,0.07830000000000001,3,,,,,,112.0000002,,
1317571.000000136,0.07830000000000001,4,,,,0.0,,,,30903.00000021234
1348654.0000003064,0.8448,1,,,,,,203.99999993999998,,
1348858.000000217,0.8448,2,,,1172.143674249,,,,401.99999967589974,
1349439.999999851,0.853599999,3,,,,,,204.99999996,,
1349644.9999999953,0.853599999,4,,,,749.38783488,,,,29044.00000004098
1378868.9999999944,-0.316,1,,,,,,160.00000008,,
1379029.0000003064,-0.316,2,,,0.0,,,,391.99999985285103,
1379601.0000001173,-0.2592,3,,,,,,151.99999992000002,,
1379752.9999998165,-0.2592,4,,,,1219.280164266,,,,398.9999996032566
1380332.0000000065,-0.1632,1,,,,,,135.00000012,,
1380467.0000001322,-0.1632,2,,,1659.057271734,,,,5925.000000139698,
1386572.00000023,0.5129999999999999,3,,,,,,179.99999994,,
1386752.0000001881,0.5129999999999999,4,,,,0.0,,,,878.999999910593
1387811.0000000568,0.5871,1,,,,,,185.99999988,,
1387997.0000001602,0.5871,2,,,2105.5051199930003,,,,508.0000005662441,
1388685.0000000559,0.6332,3,,,,,,188.99999993999998,,
1388874.000000232,0.6332,4,,,,0.0,,,,3916.0000001080334
1392970.000000298,0.7912999999999999,1,,,,,,200.00000004,,
1393169.9999999022,0.7912999999999999,2,,,19.269690768999908,,,,216.00000020116568,
1393566.0000000615,0.8062,3,,,,,,201.00000006000002,,
1393766.9999998994,0.8062,4,,,,443.84716822,,,,401.0000000707805
1394347.9999999283,0.827,1,,,,,,202.99999986,,
1394551.0000002338,0.827,2,,,0.0,,,,6479.999999748543,
1401210.9999999404,0.9106,3,,,,,,208.00000002000002,,
1401419.0000001574,0.9106,4,,,,930.485532218,,,,665.0000001769513
1402264.0000002924,0.8601000000000001,1,,,,,,204.99999996,,
1402468.9999998081,0.8601000000000001,2,,,1294.289384833,,,,1437.0000008493662,
1404085.999999987,0.7639,3,,,,,,198.0,,
1404283.9999997523,0.7639,4,,,,0.0,,,,51458.99999944959
1455922.9999997886,0.28950000000000004,1,,,,,,156.0,,
1456078.9999997942,0.28950000000000004,2,,,1796.412751236,,,,496.0000002756715,
1456755.000000028,0.2064,3,,,,,,143.0000001,,
1456898.0000001378,0.2064,4,,,,369.321840731,,,,3717.0000007376075
1460795.000000205,-0.09339999999999998,1,,,,,,117.00000012,,
1460911.9999998948,-0.09339999999999998,2,,,0.0,,,,9383.000000054017,
1470474.9999999069,-0.366,3,,,,,,165.99999984000002,,
1470640.9999997355,-0.366,4,,,,1216.926264962,,,,437.0000003138557
1471258.0000000075,-0.279,1,,,,,,154.99999998,,
1471412.9999997793,-0.279,2,,,0.0,,,,10280.000000400469,
1481873.0000001378,0.536400001,3,,,,,,181.99999997999998,,
1482054.9999999348,0.536400001,4,,,,455.836357043,,,,340.9999998752028
1482575.999999768,0.5657000000000001,1,,,,,,184.00000008,,
1482760.0000000326,0.5657000000000001,2,,,2217.085566978,,,,17849.999999720603,
1500790.00000034,-0.13990000000000002,3,,,,,,130.00000002,,
1500919.9999999255,-0.13990000000000002,4,,,,0.0,,,,21744.0000009723
1522844.0000002272,0.3092,1,,,,,,158.00000004,,
1523002.0000000717,0.3092,2,,,1516.425243828,,,,414.9999995715916,
1523597.00000023,0.3615,3,,,,,,165.0,,
1523761.999999825,0.3615,4,,,,0.0,,,,10271.00000018254
1534212.9999999655,0.679200001,1,,,,,,193.00000007999998,,
1534405.9999998193,0.679200001,2,,,1087.143458019,,,,318.0000001564622,
1534903.9999999339,0.6661,3,,,,,,191.99999982,,
1535096.0000001825,0.6661,4,,,,0.0,,,,308.9999999385327
1535585.0000000792,0.6415,1,,,,,,190.00000002,,
1535774.9999998603,0.6415,2,,,960.1294418779999,,,,372.0000002067536,
1536327.0000000251,0.6147,3,,,,,,188.99999993999998,,
1536516.0000002012,0.6147,4,,,,65.622529768,,,,11812.99999980256
1548508.9999999618,-0.234,1,,,,,,148.00000002000002,,
1548656.9999999832,-0.234,2,,,1077.0609641229998,,,,18717.00000059791,
1567553.9999999106,0.26760000000000006,3,,,,,,152.99999994,,
1567706.9999998435,0.26760000000000006,4,,,,0.0,,,,3791.0000004339963
1571678.0000002356,0.38870000000000005,1,,,,,,168.00000006,,
1571845.9999999031,0.38870000000000005,2,,,1667.2195684070002,,,,433.0000000074506,
1572458.9999998687,0.4147,3,,,,,,169.99999992,,
1572629.0000000037,0.4147,4,,,,0.0,,,,1213.0000000353903
1574021.9999999972,0.46680000000000005,1,,,,,,176.0000001,,
1574198.0000002775,0.46680000000000005,2,,,73.358651453,,,,449.99999958090484,
1574827.9999998165,0.4818,3,,,,,,177.00000011999998,,
1575005.0000003306,0.4818,4,,,,0.0,,,,90687.9999990575
1665872.9999999749,0.41870000000000007,1,,,,,,171.00000018,,
1666044.0000003437,0.41870000000000007,2,,,1406.1411632140002,,,,409.9999990314245,
