time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
762476.0000000708,-0.09129999999999999,4,,,,50.088899204,,,,283.00000014714897
762939.000000176,-0.117,1,,,,,,123.99999984,,
763062.9999996163,-0.117,2,,,1355.637574379,,,,759.000000776723,
764001.9999997225,-0.1643,3,,,,,,134.99999994,,
764136.9999998482,-0.1643,4,,,,2014.277166008,,,,11233.99999961257
775551.0000000475,0.754,1,,,,,,198.0,,
775748.9999998128,0.754,2,,,0.0,,,,56852.000000327826,
832781.0000000987,1.1393,3,,,,,,220.99999992,,
833001.9999995828,1.1393,4,,,,1082.025102371,,,,412.9999997327104
833594.9999999022,1.1167,1,,,,,,219.00000006,,
833814.000000176,1.1167,2,,,1767.52013057,,,,1132.9999989364296,
835126.9999996992,1.0677,3,,,,,,217.00000002000002,,
835344.0000001341,1.0677,4,,,,0.0,,,,1254.0000001899898
836777.9999996535,1.0036,1,,,,,,213.00000012,,
836990.9999997821,1.0036,2,,,1517.643323291,,,,420.0000001117587,
837590.9999998519,0.9719,3,,,,,,211.00000008,,
837802.0000001416,0.9719,4,,,,1112.8572492,,,,8229.000000609085
846211.0000000801,0.1739,1,,,,,,136.99999997999998,,
846348.0000000447,0.1739,2,,,1285.745164935,,,,932.0000003557652,
847459.9999997299,0.0629,3,,,,,,106.99999985999999,,
847566.9999995967,0.0629,4,,,,0.0,,,,7186.999999685213
854933.9999998687,-0.19,1,,,,,,140.00000004,,
855073.9999999059,-0.19,2,,,1140.055219571,,,,323.9999996731058,
855578.0000001658,-0.19,3,,,,,,139.99999979999998,,
855717.9999995744,-0.19,4,,,,59.480821575,,,,1661.0000004060566
857558.9999999385,-0.0497,1,,,,,,99.99999989999999,,
857659.000000055,-0.0497,2,,,2216.2727886819994,,,,12353.999999910593,
870192.9999999236,1.0378999990000002,3,,,,,,214.99999998,,
870407.999999891,1.0378999990000002,4,,,,1151.205401589,,,,44713.99999936111
915301.9999998389,1.1045,1,,,,,,219.00000006,,
915521.0000001127,1.1045,2,,,0.0,,,,85027.99999988638,
1000728.9999999572,0.2068,3,,,,,,142.99999992,,
1000872.000000067,0.2068,4,,,,1599.126754183,,,,425.0000006519258
1001477.0000000484,0.2027,1,,,,,,143.0000001,,
1001620.0000001583,0.2027,2,,,99.12040193600001,,,,108376.99999948964,
1110176.999999606,0.9791000000000001,3,,,,,,212.0000001,,
1110389.0000001295,0.9791000000000001,4,,,,660.373029653,,,,522.0000000670552
1111091.0000001546,0.8523000000000001,1,,,,,,203.99999993999998,,
1111295.0000000652,0.8523000000000001,2,,,1612.103922532,,,,60007.0000004489,
1171481.9999998435,-0.5800000000000001,3,,,,,,186.00000011999998,,
1171667.999999947,-0.5800000000000001,4,,,,0.0,,,,988.9999992214143
1172836.999999755,-0.49720000000000003,1,,,,,,178.99999992,,
1173016.000000108,-0.49720000000000003,2,,,29.960594262000086,,,,216.00000020116568,
1173411.9999996386,-0.4393,3,,,,,,172.99999997999998,,
1173584.9999998463,-0.4393,4,,,,708.354341019,,,,17770.999999484047
1191535.999999917,0.23059999999999997,1,,,,,,147.0,,
1191682.9999997048,0.23059999999999997,2,,,645.714059134,,,,618.9999994821846,
1192481.9999997737,0.19899999999999998,3,,,,,,141.9999999,,
1192623.9999996498,0.19899999999999998,4,,,,0.0,,,,3424.00000076741
1196227.9999997467,0.05100000000000002,1,,,,,,100.99999992,,
1196329.0000000969,0.05100000000000002,2,,,2198.498196532,,,,508.0000005662441,
1197016.9999999925,0.01369999999999999,3,,,,,,72.9999999,,
1197090.0000000838,0.01369999999999999,4,,,,737.221353215,,,,1266.0000004805624
1198535.9999998938,-0.05479999999999999,1,,,,,,102.99999996,,
1198639.000000083,-0.05479999999999999,2,,,0.0,,,,7292.999999318272,
1206111.999999988,-0.2989,3,,,,,,156.99999984,,
1206268.9999995986,-0.2989,4,,,,87.88486444,,,,286.0000002197921
1206734.9999997765,-0.3145,1,,,,,,158.99999988000002,,
1206893.9999998547,-0.3145,2,,,0.0,,,,5113.000000175089,
1212186.999999988,-0.2802,3,,,,,,153.99999996,,
1212341.0000001546,-0.2802,4,,,,73.956427804,,,,286.0000002197921
1212806.9999997038,-0.2546,1,,,,,,150.99999989999998,,
